player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,45853,90.4,53.1,True,goal,assisted,left-foot,low-right,0.26735204458237,67,,3979,24,1421,47.5,0.6,,,,46.9,9.6,,,52.5,0,52.5,99.4,0.782,regular
Jamal Musiala,jamal-musiala,J. Musiala,M,1010231,91.3,53.6,True,goal,assisted,right-foot,high-left,0.16527888178825,22,,1302,24,1398,53.1,27.8,,,,46.4,8.7,,,46.9,0,46.9,72.2,0.8953,regular
Patrik Schick,patrik-schick,P. Schick,F,280609,98.7,52.6,False,goal,corner,other,low-left,0.90266764163971,59,,3486,32,1914,52.7,8.2,,,,47.4,1.3,,,47.3,0,47.3,91.8,0.9804,regular
Georges Mikautadze,mikautadze-georges,G. Mikautadze,F,1009372,88.5,50.0,True,goal,penalty,right-foot,low-right,0.7884,45,4.0,2900,1,2500,45.9,17.1,,,,50.0,11.5,,,54.1,0,54.1,82.9,0.9933,penalty
Marko Arnautović,marko-arnautovic,M. Arnautović,F,21927,88.5,50.0,False,goal,penalty,right-foot,low-right,0.7884,78,,4669,13,731,46.9,1.9,,,,50.0,11.5,,,53.1,0,53.1,98.1,0.9892,penalty
Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,825956,84.1,54.0,False,goal,assisted,right-foot,low-centre,0.11560513079166,66,,3959,25,1441,48.4,3.2,,,,46.0,15.9,,,51.6,0,51.6,96.8,0.0879,regular
Krzysztof Piątek,krzysztof-piatek,K. Piątek,F,558738,94.9,47.0,True,goal,corner,right-foot,low-right,0.51221311092377,30,,1775,16,925,46.3,0.6,,,,53.0,5.1,,,53.7,0,53.7,99.4,0.9363,regular
Gernot Trauner,gernot-trauner,G. Trauner,D,121588,95.5,59.7,False,goal,throw-in-set-piece,head,high-left,0.07969581335783,9,,524,37,2176,53.5,27.2,,,,40.3,4.5,,,46.5,0,46.5,72.8,0.6533,regular
Maximilian Wöber,maximilian-wober,M. Wöber,D,794962,95.2,45.2,False,goal,regular,head,low-left,,38,,2251,8,449,54.1,7.0,,,,54.8,4.8,,,45.9,0,45.9,93.0,,own
Theo Hernández,theo-hernandez,T. Hernández,D,788027,88.5,50.0,False,goal,shootout,left-foot,low-left,0.7884,128,,7637,8,463,54.3,17.1,,,,50.0,11.5,,,45.7,0,45.7,82.9,0.9944,penalty
