player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType,total_time,time_interval,is_goal,mean_xG_xGOT,diff_xG_xGOT
João Félix,joao-felix,J. Félix,F,851671,22.0,44.2,False,save,assisted,left-foot,low-centre,0.048120509833097,45,1.0,2714,1,2686,49.7,3.2,1.2,49.5,0.0,55.8,22.0,49.5,1.2,50.3,0,50.3,96.8,0.0245,,46.0,45-59 mins,0,0.036310254916548504,0.023620509833097
João Palhinha,joao-palhinha,J. Palhinha,M,364612,25.0,64.3,False,save,assisted,right-foot,low-centre,0.019118536263704,23,0.0,1331,23,1369,50.3,19.0,2.8,48.7,0.0,35.7,25.0,48.7,2.8,49.7,0,49.7,81.0,0.0215,,23.0,15-29 mins,0,0.020309268131852,-0.0023814637362959967
Cristiano Ronaldo,cristiano-ronaldo,C. Ronaldo,F,750,30.1,47.1,False,save,free-kick,right-foot,high-centre,0.033839602023363,16,0.0,958,30,1742,49.9,28.5,2.3,50.0,0.0,52.9,30.1,50.0,2.3,50.1,0,50.1,71.5,0.0402,,16.0,15-29 mins,0,0.0370198010116815,-0.006360397976636997
Khvicha Kvaratskhelia,khvicha-kvaratskhelia,K. Kvaratskhelia,F,889259,8.0,63.0,True,goal,assisted,left-foot,low-right,0.26515370607376,2,0.0,92,44,2608,47.7,5.7,,,,37.0,8.0,,,52.3,0,52.3,94.3,0.606,regular,2.0,0-14 mins,1,0.43557685303688,-0.34084629392624
Cenk Tosun,cenk-tosun,C. Tosun,F,72127,13.7,55.7,False,goal,fast-break,right-foot,low-right,0.2168260961771,90,4.0,5625,1,675,46.3,11.4,,,,44.3,13.7,,,53.7,0,53.7,88.6,0.3544,regular,94.0,90+ mins,1,0.28561304808855,-0.1375739038229
Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,F,904096,19.5,43.8,False,save,fast-break,left-foot,low-centre,0.14132227003574,90,2.0,5510,1,790,50.0,3.2,1.0,50.9,0.0,56.2,19.5,50.9,1.0,50.0,0,50.0,96.8,0.0271,,92.0,90+ mins,0,0.08421113501787,0.11422227003574
Tomáš Souček,tomas-soucek,T. Souček,M,799041,5.2,47.2,True,goal,throw-in-set-piece,right-foot,high-centre,0.43611285090446,66,0.0,3925,25,1475,48.2,21.5,,,,52.8,5.2,,,51.8,0,51.8,78.5,0.8474,regular,66.0,60-74 mins,1,0.64175642545223,-0.41128714909554004
Ladislav Krejčí,ladislav-krejci,L. Krejčí,D,856250,4.2,38.5,True,save,set-piece,head,low-centre,0.080487929284573,64,0.0,3792,27,1608,48.2,13.3,0.59999999999999,54.9,0.0,61.5,4.2,54.9,0.59999999999999,51.8,0,51.8,86.7,0.0404,,64.0,60-74 mins,0,0.060443964642286505,0.040087929284573005
Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,135700,8.9,68.4,False,goal,assisted,right-foot,low-right,0.10156442224979,51,0.0,3048,40,2352,45.8,8.9,,,,31.6,8.9,,,54.2,0,54.2,91.1,0.5833,regular,51.0,45-59 mins,1,0.342432211124895,-0.48173557775021003
Kenan Yıldız,yildiz-kenan,K. Yıldız,F,1149011,9.6,48.8,False,save,regular,right-foot,low-left,0.28404864668846,51,0.0,3041,40,2359,53.6,10.8,1.5,51.6,0.0,51.2,9.6,51.6,1.5,46.4,0,46.4,89.2,0.7684,,51.0,45-59 mins,0,0.52622432334423,-0.48435135331153994
