player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
Cody Gakpo,cody-gakpo,C. Gakpo,F,862967,93.0,57.3,False,miss,assisted,right-foot,high,0.22849798202515,42,,2504,4,196,50.6,63.9,,,,42.7,7.0,,,49.4,0,49.4,36.1,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,976037,90.3,71.1,True,save,regular,left-foot,low-centre,0.029082847759128,32,,1885,14,815,49.0,3.8,1.4,44.6,0.0,28.9,9.7,44.6,1.4,51.0,0,51.0,96.2,0.054,
Cody Gakpo,cody-gakpo,C. Gakpo,F,862967,78.4,56.0,False,goal,assisted,right-foot,low-centre,0.047642592340708,29,,1729,17,971,49.8,9.5,,,,44.0,21.6,,,50.2,0,50.2,90.5,0.0154,regular
Cody Gakpo,cody-gakpo,C. Gakpo,F,862967,81.3,73.4,False,miss,assisted,right-foot,left,0.019071932882071,28,,1670,18,1030,59.5,1.4,,,,26.6,18.7,,,40.5,0,40.5,98.6,,
Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,893549,98.2,60.3,False,block,assisted,head,low-centre,0.051631979644299,27,,1602,19,1098,51.1,19.0,1.2,41.5,0.0,39.7,1.8,41.5,1.2,48.9,0,48.9,81.0,,
Denzel Dumfries,denzel-dumfries,D. Dumfries,M,759520,91.5,46.2,False,miss,assisted,head,left,0.15706253051758,27,,1600,19,1100,61.7,12.5,1.4,43.5,0.0,53.8,8.5,43.5,1.4,38.3,0,38.3,87.5,,
Memphis Depay,memphis-depay,M. Depay,F,138833,92.1,31.5,False,miss,fast-break,right-foot,left,0.14724907279015,23,,1365,23,1335,96.8,12.5,2.5,0.0,0.0,68.5,7.9,0.0,2.5,3.2,0,3.2,87.5,,
Memphis Depay,memphis-depay,M. Depay,F,138833,85.3,48.9,False,miss,assisted,right-foot,high,0.12041456252337,22,,1274,24,1426,48.1,69.4,,,,51.1,14.7,,,51.9,0,51.9,30.6,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,151545,86.4,51.1,False,save,corner,right-foot,low-centre,0.035247884690762,20,,1166,26,1534,48.7,17.7,1.9,50.0,0.0,48.9,13.6,50.0,1.9,51.3,0,51.3,82.3,0.053,
Adam Buksa,adam-buksa,A. Buksa,F,1138856,93.9,54.0,True,goal,corner,head,low-centre,0.12401009351015,16,,949,30,1751,49.2,11.4,,,,46.0,6.1,,,50.8,0,50.8,88.6,0.0359,regular
Xavi Simons,xavi-simons,X. Simons,M,997183,79.7,25.0,False,miss,assisted,right-foot,close-left,0.028496716171503,14,,813,32,1887,58.3,1.4,,,,75.0,20.3,,,41.7,0,41.7,98.6,,
Adam Buksa,adam-buksa,A. Buksa,F,1138856,89.2,30.700000000000003,True,block,assisted,right-foot,low-centre,0.024317055940628,10,,587,36,2113,50.4,19.0,9.4,66.8,0.0,69.3,10.8,66.8,9.4,49.6,0,49.6,81.0,,
Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,893549,85.9,47.4,False,miss,assisted,right-foot,close-right,0.076308354735374,9,,533,37,2167,43.2,6.9,,,,52.6,14.1,,,56.8,0,56.8,93.1,,
Bartosz Salamon,bartosz-salamon,B. Salamon,D,75994,46.5,45.8,True,miss,fast-break,right-foot,left,0.011483704671264,8,,441,38,2259,72.1,2.8,2.2,32.3,0.0,54.2,53.5,32.3,2.2,27.9,0,27.9,97.2,,
Cody Gakpo,cody-gakpo,C. Gakpo,F,862967,92.1,56.8,False,miss,assisted,head,right,0.063879080116749,6,,301,40,2399,29.1,9.7,7.1,49.8,0.0,43.2,7.9,49.8,7.1,70.9,0,70.9,90.3,,
Cody Gakpo,cody-gakpo,C. Gakpo,F,862967,92.1,71.8,False,save,regular,right-foot,low-left,0.019023744389415,2,,104,44,2596,54.2,1.3,0.59999999999999,46.9,0.0,28.2,7.9,46.9,0.59999999999999,45.8,0,45.8,98.7,0.2232,
Federico Chiesa,federico-chiesa,F. Chiesa,F,845386,84.7,18.799999999999997,False,miss,assisted,left-foot,left,0.016554923728108,90,1.0,5447,1,853,99.5,4.2,4.4,0.0,0.0,81.2,15.3,0.0,4.4,0.5,0,0.5,95.8,,
Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,555540,76.6,63.4,False,miss,assisted,right-foot,high-right,0.023177424445748,85,,5076,6,324,43.2,76.4,,,,36.6,23.4,,,56.8,0,56.8,23.6,,
Steven Zuber,steven-zuber,S. Zuber,F,37752,94.8,69.3,True,miss,assisted,left-foot,right,0.070823445916176,83,,4959,8,441,0.7,27.8,5.4,100.0,0.0,30.7,5.2,100.0,5.4,99.3,0,99.3,72.2,,
Remo Freuler,remo-freuler,R. Freuler,M,115516,79.9,51.2,True,miss,corner,left-foot,high,0.036505304276943,79,,4694,12,706,44.7,88.9,,,,48.8,20.1,,,55.3,0,55.3,11.1,,
Gianluca Scamacca,gianluca-scamacca,G. Scamacca,F,807301,78.3,46.6,False,miss,regular,right-foot,high,0.026800289750099,76,,4547,15,853,46.6,88.9,,,,53.4,21.7,,,53.4,0,53.4,11.1,,
Nicolò Fagioli,nicolo-fagioli,N. Fagioli,M,901850,74.7,62.5,False,miss,assisted,right-foot,high,0.020411321893334,74,,4427,17,973,45.9,75.0,,,,37.5,25.3,,,54.1,0,54.1,25.0,,
Gianluca Scamacca,gianluca-scamacca,G. Scamacca,F,807301,96.5,56.5,False,post,assisted,right-foot,left,0.36605548858643,74,,4414,17,986,55.2,5.1,,,,43.5,3.5,,,44.8,0,44.8,94.9,,
Mattia Zaccagni,mattia-zaccagni,M. Zaccagni,F,293581,90.1,48.5,False,miss,assisted,head,left,0.13757021725178,74,,4413,17,987,60.3,15.3,4.7,43.5,0.0,51.5,9.9,43.5,4.7,39.7,0,39.7,84.7,,
Mateo Retegui,mateo-retegui,M. Retegui,F,914501,78.8,45.4,False,save,assisted,left-foot,low-centre,0.055264890193939,73,,4339,18,1061,48.6,1.3,1.9,50.5,0.0,54.6,21.2,50.5,1.9,51.4,0,51.4,98.7,0.0676,
Granit Xhaka,granit-xhaka,G. Xhaka,M,117777,79.4,64.5,True,block,assisted,left-foot,low-centre,0.052981175482273,65,,3851,26,1549,50.9,19.0,14.2,39.7,0.0,35.5,20.6,39.7,14.2,49.1,0,49.1,81.0,,
Dan Ndoye,dan-ndoye,D. Ndoye,M,944327,77.3,34.0,True,miss,assisted,left-foot,high-left,0.03410591557622,59,,3522,32,1878,61.7,68.1,,,,66.0,22.7,,,38.3,0,38.3,31.9,,
Bryan Cristante,bryan-cristante,B. Cristante,M,186855,72.9,41.5,False,block,assisted,right-foot,low-left,0.016398863866925,56,,3339,35,2061,53.4,6.9,13.3,52.5,0.0,58.5,27.1,52.5,13.3,46.6,0,46.6,93.1,,
Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,67769,73.2,66.9,True,block,assisted,left-foot,low-left,0.020561322569847,55,,3259,36,2141,51.8,19.0,20.2,36.8,0.0,33.1,26.8,36.8,20.2,48.2,0,48.2,81.0,,
Federico Chiesa,federico-chiesa,F. Chiesa,F,845386,76.7,52.5,False,block,corner,left-foot,low-left,0.014225427992642,53,,3145,38,2255,52.9,19.0,21.5,47.5,0.0,47.5,23.3,47.5,21.5,47.1,0,47.1,81.0,,
Federico Chiesa,federico-chiesa,F. Chiesa,F,845386,96.4,33.3,False,miss,regular,right-foot,left,0.022018250077963,52,,3066,39,2334,86.7,13.9,4.1,17.5,0.0,66.7,3.6,17.5,4.1,13.3,0,13.3,86.1,,
Ruben Vargas,ruben-vargas,R. Vargas,M,872919,84.8,69.8,True,goal,assisted,right-foot,high-right,0.031711459159851,46,,2727,45,2673,47.6,28.5,,,,30.2,15.2,,,52.4,0,52.4,71.5,0.2867,regular
Fabian Rieder,fabian-rieder,F. Rieder,M,929620,81.7,16.200000000000003,True,save,free-kick,left-foot,high-right,0.031768936663866,45,1.0,2714,1,2686,45.8,20.9,1.5,53.2,0.0,83.8,18.3,53.2,1.5,54.2,0,54.2,79.1,0.2309,
Remo Freuler,remo-freuler,R. Freuler,M,115516,91.4,55.7,True,goal,assisted,left-foot,low-left,0.20096455514431,37,,2180,9,520,53.9,3.2,,,,44.3,8.6,,,46.1,0,46.1,96.8,0.8643,regular
Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,67769,73.5,69.3,True,miss,assisted,left-foot,high,0.013987603597343,32,,1866,14,834,48.4,63.9,,,,30.7,26.5,,,51.6,0,51.6,36.1,,
Fabian Schär,fabian-schar,F. Schär,D,101882,87.1,30.299999999999997,True,block,assisted,left-foot,low-left,0.019269339740276,31,,1857,15,843,53.0,19.0,11.8,67.7,0.0,69.7,12.9,67.7,11.8,47.0,0,47.0,81.0,,
Dan Ndoye,dan-ndoye,D. Ndoye,M,944327,86.8,29.400000000000006,True,block,assisted,right-foot,low-centre,0.03749055787921,28,,1636,18,1064,49.2,19.0,11.5,68.1,0.0,70.6,13.2,68.1,11.5,50.8,0,50.8,81.0,,
Federico Chiesa,federico-chiesa,F. Chiesa,F,845386,89.1,66.8,False,block,regular,right-foot,low-centre,0.029055781662464,26,,1529,20,1171,48.6,1.4,4.0,43.3,0.0,33.2,10.9,43.3,4.0,51.4,0,51.4,98.6,,
Breel Embolo,breel-embolo,B. Embolo,F,352296,75.2,53.8,True,block,regular,left-foot,low-left,0.019177379086614,25,,1499,21,1201,52.0,19.0,19.8,46.6,0.0,46.2,24.8,46.6,19.8,48.0,0,48.0,81.0,,
Remo Freuler,remo-freuler,R. Freuler,M,115516,74.3,46.8,True,block,regular,right-foot,low-centre,0.037140544503927,24,,1415,22,1285,51.5,19.0,13.3,52.0,0.0,53.2,25.7,52.0,13.3,48.5,0,48.5,81.0,,
Dan Ndoye,dan-ndoye,D. Ndoye,M,944327,88.9,36.2,True,block,regular,left-foot,low-right,0.054237753152847,24,,1411,22,1289,46.2,19.0,9.8,62.6,0.0,63.8,11.1,62.6,9.8,53.8,0,53.8,81.0,,
Breel Embolo,breel-embolo,B. Embolo,F,352296,88.3,58.8,True,save,assisted,right-foot,low-right,0.52414691448212,24,,1406,22,1294,48.1,19.0,6.2,44.8,0.0,41.2,11.7,44.8,6.2,51.9,0,51.9,81.0,0.7594,
Dan Ndoye,dan-ndoye,D. Ndoye,M,944327,91.2,32.099999999999994,True,miss,assisted,right-foot,left,0.065932042896748,12,,660,34,2040,76.1,9.7,,,,67.9,8.8,,,23.9,0,23.9,90.3,,
Gonçalo Ramos,goncalo-ramos,G. Ramos,F,934510,95.9,40.2,False,block,corner,left-foot,low-centre,0.068954259157181,90,4.0,5625,1,675,49.7,19.0,3.1,57.4,0.0,59.8,4.1,57.4,3.1,50.3,0,50.3,81.0,,
Diogo Dalot,diogo-dalot,D. Dalot,D,843200,77.2,34.900000000000006,False,save,assisted,right-foot,low-right,0.022149257361889,90,4.0,5603,1,697,46.3,19.0,2.3,50.9,0.0,65.1,22.8,50.9,2.3,53.7,0,53.7,81.0,0.21,
Diogo Jota,diogo-jota,D. Jota,F,606164,93.1,50.3,False,miss,assisted,left-foot,right,0.5938800573349,90,3.0,5528,1,772,33.9,9.7,,,,49.7,6.9,,,66.1,0,66.1,90.3,,
João Félix,joao-felix,J. Félix,F,851671,79.3,34.400000000000006,False,block,assisted,left-foot,low-left,0.017918596044183,90,2.0,5506,1,794,54.5,19.0,18.8,63.7,0.0,65.6,20.7,63.7,18.8,45.5,0,45.5,81.0,,
Nélson Semedo,nelson-semedo,N. Semedo,M,252821,95.9,39.4,False,save,assisted,right-foot,low-centre,0.1725057810545,90,1.0,5440,1,860,50.7,12.7,0.90000000000001,54.2,0.0,60.6,4.1,54.2,0.90000000000001,49.3,0,49.3,87.3,0.2279,
Zuriko Davitashvili,zuriko-davitashvili,Z. Davitashvili,F,921369,92.3,67.6,True,miss,assisted,left-foot,close-left,0.046050876379013,85,,5093,6,307,58.0,37.5,,,,32.4,7.7,,,42.0,0,42.0,62.5,,
Matheus Nunes,matheus-nunes,M. Nunes,M,945122,91.7,48.4,False,miss,assisted,head,right,0.25134140253067,82,,4891,9,509,3.4,13.9,6.6,96.8,0.0,51.6,8.3,96.8,6.6,96.6,0,96.6,86.1,,
Nélson Semedo,nelson-semedo,N. Semedo,M,252821,74.7,50.7,False,block,corner,right-foot,low-centre,0.02386655844748,81,,4818,10,582,50.9,19.0,22.0,49.3,0.0,49.3,25.3,49.3,22.0,49.1,0,49.1,81.0,,
Giorgi Chakvetadze,giorgi-chakvetadze,G. Chakvetadze,M,858191,85.8,27.299999999999997,True,miss,fast-break,right-foot,high,0.037074599415064,72,,4262,19,1138,47.1,79.2,,,,72.7,14.2,,,52.9,0,52.9,20.8,,
Francisco Conceição,francisco-conceicao,F. Conceição,M,979222,84.8,44.8,False,miss,regular,left-foot,high,0.068250350654125,66,,3948,25,1452,54.5,68.1,,,,55.2,15.2,,,45.5,0,45.5,31.9,,
