shot_id,player.name,player.slug,player.shortName,player.position,player.jerseyNumber,player.userCount,player.id,player.fieldTranslations.nameTranslation.ar,player.fieldTranslations.shortNameTranslation.ar,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,player.firstName,player.lastName,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType,shootoutOrder
70,Bryan Cristante,bryan-cristante,B. Cristante,M,4,2478,186855,برايان كريستانتي,ب. كريستانتي,27.1,58.5,0,,,False,block,assisted,right-foot,low-left,0.016398863866925,3405608,56,,3339,35,2061,shot,0,53.4,6.9,13.3,52.5,0.0,58.5,27.1,52.5,13.3,46.6,0,46.6,93.1,,,
71,Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,,1573,67769,رودريغيز ريكاردو,ر. ريكاردو,26.8,33.1,0,,,True,block,assisted,left-foot,low-left,0.020561322569847,3405604,55,,3259,36,2141,shot,0,51.8,19.0,20.2,36.8,0.0,33.1,26.8,36.8,20.2,48.2,0,48.2,81.0,,,
72,Federico Chiesa,federico-chiesa,F. Chiesa,F,7,24081,845386,فيديريكو تشيسا,ف. تشيسا,23.3,47.5,0,,,False,block,corner,left-foot,low-left,0.014225427992642,3405603,53,,3145,38,2255,shot,0,52.9,19.0,21.5,47.5,0.0,47.5,23.3,47.5,21.5,47.1,0,47.1,81.0,,,
73,Federico Chiesa,federico-chiesa,F. Chiesa,F,7,24081,845386,فيديريكو تشيسا,ف. تشيسا,3.6,66.7,0,,,False,miss,regular,right-foot,left,0.022018250077963,3405601,52,,3066,39,2334,shot,0,86.7,13.9,4.1,17.5,0.0,66.7,3.6,17.5,4.1,13.3,0,13.3,86.1,,,
74,Ruben Vargas,ruben-vargas,R. Vargas,M,16,1817,872919,روبن فارغاس,ر. فارغاس,15.2,30.2,0,,,True,goal,assisted,right-foot,high-right,0.031711459159851,3405599,46,,2727,45,2673,shot,0,47.6,28.5,,,,30.2,15.2,,,52.4,0,52.4,71.5,0.2867,regular,
75,Fabian Rieder,fabian-rieder,F. Rieder,M,32,1403,929620,"ريدر, فابيان",ف. ريدر,18.3,83.8,0,,,True,save,free-kick,left-foot,high-right,0.031768936663866,3405564,45,1.0,2714,1,2686,shot,0,45.8,20.9,1.5,53.2,0.0,83.8,18.3,53.2,1.5,54.2,0,54.2,79.1,0.2309,,
76,Remo Freuler,remo-freuler,R. Freuler,M,8,2126,115516,ريمو فريلر,ر. فريلر,8.6,44.3,0,,,True,goal,assisted,left-foot,low-left,0.20096455514431,3405553,37,,2180,9,520,shot,0,53.9,3.2,,,,44.3,8.6,,,46.1,0,46.1,96.8,0.8643,regular,
77,Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,,1573,67769,رودريغيز ريكاردو,ر. ريكاردو,26.5,30.7,0,,,True,miss,assisted,left-foot,high,0.013987603597343,3405550,32,,1866,14,834,shot,0,48.4,63.9,,,,30.7,26.5,,,51.6,0,51.6,36.1,,,
78,Fabian Schär,fabian-schar,F. Schär,D,5,2869,101882,"شار, فابيان",ف. شار,12.9,69.7,0,,,True,block,assisted,left-foot,low-left,0.019269339740276,3405549,31,,1857,15,843,shot,0,53.0,19.0,11.8,67.7,0.0,69.7,12.9,67.7,11.8,47.0,0,47.0,81.0,,,
79,Dan Ndoye,dan-ndoye,D. Ndoye,M,11,1797,944327,دان ندوي,د. ندوي,13.2,70.6,0,,,True,block,assisted,right-foot,low-centre,0.03749055787921,3405541,28,,1636,18,1064,shot,0,49.2,19.0,11.5,68.1,0.0,70.6,13.2,68.1,11.5,50.8,0,50.8,81.0,,,
